timestamp,price,date
1738638232232,100843.17354271388,2025-02-04 03:03:52.232
1738641832533,100696.1326357584,2025-02-04 04:03:52.533
1738645445375,100163.72562649935,2025-02-04 05:04:05.375
1738649034372,99248.39363079518,2025-02-04 06:03:54.372
1738652643227,99414.93416195072,2025-02-04 07:04:03.227
1738656177118,98461.65323336356,2025-02-04 08:02:57.118
1738659832878,98361.85276813261,2025-02-04 09:03:52.878
1738663720006,98707.16429232086,2025-02-04 10:08:40.006
1738666922244,98900.15664785431,2025-02-04 11:02:02.244
1738670629625,99125.47947716463,2025-02-04 12:03:49.625
1738674242382,99369.05940581522,2025-02-04 13:04:02.382
1738677837983,99132.60917545018,2025-02-04 14:03:57.983
1738681435742,100160.09279025279,2025-02-04 15:03:55.742
1738685050533,99503.28222371545,2025-02-04 16:04:10.533
1738688494919,99207.7117070122,2025-02-04 17:01:34.919
1738692246155,99243.8917964687,2025-02-04 18:04:06.155
1738695842973,99359.35824162222,2025-02-04 19:04:02.973
1738699442905,98860.42539595038,2025-02-04 20:04:02.905
1738703324686,97972.8075370943,2025-02-04 21:08:44.686
1738706650694,96386.5143187413,2025-02-04 22:04:10.694
1738710115641,97690.61739242118,2025-02-04 23:01:55.641
1738713836312,97888.30731950274,2025-02-05 00:03:56.312
1738717437514,98360.40524167611,2025-02-05 01:03:57.514
1738720972157,97742.4722066188,2025-02-05 02:02:52.157
1738724614380,98029.77668903438,2025-02-05 03:03:34.380
1738728006424,98006.5293424413,2025-02-05 04:00:06.424
1738731849895,98094.7373713875,2025-02-05 05:04:09.895
1738735418079,98200.71650096471,2025-02-05 06:03:38.079
1738739030074,97513.92279729006,2025-02-05 07:03:50.074
1738742630441,97904.93450676241,2025-02-05 08:03:50.441
1738746238345,97656.24528073946,2025-02-05 09:03:58.345
1738749830353,97450.19613346204,2025-02-05 10:03:50.353
1738753432815,97759.8831753512,2025-02-05 11:03:52.815
1738756863860,98193.32303841642,2025-02-05 12:01:03.860
1738760555879,98045.78183003876,2025-02-05 13:02:35.879
1738764253296,98611.46674060835,2025-02-05 14:04:13.296
1738767795819,98351.26868548083,2025-02-05 15:03:15.819
1738771309250,98192.99346867306,2025-02-05 16:01:49.250
1738775027273,98044.92329209218,2025-02-05 17:03:47.273
1738778644941,97736.3008613856,2025-02-05 18:04:04.941
1738782249173,96709.7362968561,2025-02-05 19:04:09.173
1738785758875,97377.74729659544,2025-02-05 20:02:38.875
1738789440438,97326.90138999239,2025-02-05 21:04:00.438
1738793050280,96870.39922901063,2025-02-05 22:04:10.280
1738796628268,96439.88149814382,2025-02-05 23:03:48.268
1738800239513,96613.00809483857,2025-02-06 00:03:59.513
1738803825864,96839.96420150516,2025-02-06 01:03:45.864
1738807441898,97130.53973144067,2025-02-06 02:04:01.898
1738810824898,97355.35589817187,2025-02-06 03:00:24.898
1738814651043,97355.40414806851,2025-02-06 04:04:11.043
1738818220870,97643.75264902429,2025-02-06 05:03:40.870
1738822108951,97775.60672474427,2025-02-06 06:08:28.951
1738825451555,98402.46047835614,2025-02-06 07:04:11.555
1738828808101,98232.29586759426,2025-02-06 08:00:08.101
1738832912486,98211.45992465959,2025-02-06 09:08:32.486
1738836235136,98692.44773552474,2025-02-06 10:03:55.136
1738839842195,98975.0605619712,2025-02-06 11:04:02.195
1738843317109,98901.87439582883,2025-02-06 12:01:57.109
1738846912501,98359.249482822,2025-02-06 13:01:52.501
1738850911052,98548.2185810839,2025-02-06 14:08:31.052
1738854069316,97920.76851950152,2025-02-06 15:01:09.316
1738857767492,97232.86007013674,2025-02-06 16:02:47.492
1738861423384,96581.82206855995,2025-02-06 17:03:43.384
1738865040401,96720.71725520355,2025-02-06 18:04:00.401
1738868576212,96340.12998876366,2025-02-06 19:02:56.212
1738872241843,95967.15004023662,2025-02-06 20:04:01.843
1738875836060,96900.66888552891,2025-02-06 21:03:56.060
1738879272092,96784.5850446752,2025-02-06 22:01:12.092
1738883049795,96928.85157608312,2025-02-06 23:04:09.795
1738886631765,96567.63486519158,2025-02-07 00:03:51.765
1738890508742,96656.38389228036,2025-02-07 01:08:28.742
1738893850825,97463.82094798237,2025-02-07 02:04:10.825
1738897441886,97585.5765251919,2025-02-07 03:04:01.886
1738901038031,97442.04681675724,2025-02-07 04:03:58.031
1738904621061,97459.12539682529,2025-02-07 05:03:41.061
1738908097655,97354.27325739387,2025-02-07 06:01:37.655
1738911626442,96876.89154634211,2025-02-07 07:00:26.442
1738915431391,96765.55824275386,2025-02-07 08:03:51.391
1738919049234,97129.2131679456,2025-02-07 09:04:09.234
1738922630207,97337.03098963221,2025-02-07 10:03:50.207
1738926214511,97316.41651615771,2025-02-07 11:03:34.511
1738929656631,97760.09397417755,2025-02-07 12:00:56.631
1738933435385,98006.31102408515,2025-02-07 13:03:55.385
1738936986155,98873.42490634344,2025-02-07 14:03:06.155
1738940589508,99606.01843437883,2025-02-07 15:03:09.508
1738944253816,98081.80812585702,2025-02-07 16:04:13.816
1738947832752,97880.47132241819,2025-02-07 17:03:52.752
1738951463151,97416.13593512993,2025-02-07 18:04:23.151
1738955045117,97758.33738706807,2025-02-07 19:04:05.117
1738958654604,96896.28982042264,2025-02-07 20:04:14.604
1738962222904,95746.87395405429,2025-02-07 21:03:42.904
1738965830336,96040.13865031378,2025-02-07 22:03:50.336
1738969442331,96108.29568062663,2025-02-07 23:04:02.331
1738973044306,96558.4563096667,2025-02-08 00:04:04.306
1738976656292,96670.89656751913,2025-02-08 01:04:16.292
1738980255147,96548.21819135682,2025-02-08 02:04:15.147
1738983824400,96786.35922159553,2025-02-08 03:03:44.400
1738987425095,96713.24797153489,2025-02-08 04:03:45.095
1738991051997,96320.34813679579,2025-02-08 05:04:11.997
1738994646448,96154.76117032336,2025-02-08 06:04:06.448
1738998229795,95952.52432602612,2025-02-08 07:03:49.795
1739001840625,96223.7407871112,2025-02-08 08:04:00.625
1739005427457,95905.61306579997,2025-02-08 09:03:47.457
1739008954123,96095.3786132481,2025-02-08 10:02:34.123
1739012623068,96039.32910256689,2025-02-08 11:03:43.068
1739016248355,96003.7579365969,2025-02-08 12:04:08.355
1739020125465,96087.21179559056,2025-02-08 13:08:45.465
1739023432395,96218.75936833651,2025-02-08 14:03:52.395
1739027036703,96072.01389415626,2025-02-08 15:03:56.703
1739030631360,95836.79513855922,2025-02-08 16:03:51.360
1739034248165,96168.08067753738,2025-02-08 17:04:08.165
1739037836480,96355.02099871126,2025-02-08 18:03:56.480
1739041464996,96518.94915955854,2025-02-08 19:04:24.996
1739045041049,96645.85029878837,2025-02-08 20:04:01.049
1739048651842,96484.13257174032,2025-02-08 21:04:11.842
1739052227816,96501.1504913647,2025-02-08 22:03:47.816
1739055830607,96487.0543625433,2025-02-08 23:03:50.607
1739059457343,96454.44602149501,2025-02-09 00:04:17.343
1739063029419,96569.42155748123,2025-02-09 01:03:49.419
1739066628177,97011.60027792904,2025-02-09 02:03:48.177
1739070233688,96779.30602990102,2025-02-09 03:03:53.688
1739074120312,97259.00138784561,2025-02-09 04:08:40.312
1739077432099,97267.4076648532,2025-02-09 05:03:52.099
1739081037204,97046.2789388488,2025-02-09 06:03:57.204
1739084629412,97028.92076912236,2025-02-09 07:03:49.412
1739088248033,97117.2428080168,2025-02-09 08:04:08.033
1739091832948,97108.03391440804,2025-02-09 09:03:52.948
1739095434094,96890.28323028823,2025-02-09 10:03:54.094
1739099037408,96808.57964192933,2025-02-09 11:03:57.408
1739102750891,96603.27364795694,2025-02-09 12:05:50.891
1739106232621,96550.38390104315,2025-02-09 13:03:52.621
1739109836421,95906.49171654721,2025-02-09 14:03:56.421
1739113446468,96162.13377205859,2025-02-09 15:04:06.468
1739116869843,96498.54652003417,2025-02-09 16:01:09.843
1739120652396,96458.06093493411,2025-02-09 17:04:12.396
1739124531218,96125.10211989976,2025-02-09 18:08:51.218
1739128126829,96218.25827497702,2025-02-09 19:08:46.829
1739131431775,96096.82739593633,2025-02-09 20:03:51.775
1739135033818,96325.2632461819,2025-02-09 21:03:53.818
1739138632847,95340.48294665758,2025-02-09 22:03:52.847
1739142183213,95841.1801230943,2025-02-09 23:03:03.213
1739145852806,96519.99549282841,2025-02-10 00:04:12.806
1739149449496,96766.93559529584,2025-02-10 01:04:09.496
1739153024925,95524.22026320195,2025-02-10 02:03:44.925
1739156437956,95821.87762306974,2025-02-10 03:00:37.956
1739160221360,96805.44643078477,2025-02-10 04:03:41.360
1739163860006,96961.36839920148,2025-02-10 05:04:20.006
1739167362650,97071.92621073166,2025-02-10 06:02:42.650
1739171055757,97151.54613521088,2025-02-10 07:04:15.757
1739174833748,97464.14633368152,2025-02-10 08:07:13.748
1739178227056,97701.28028726348,2025-02-10 09:03:47.056
1739181684403,97510.84742833716,2025-02-10 10:01:24.403
1739185469824,97730.66462298081,2025-02-10 11:04:29.824
1739189052943,97731.48183582605,2025-02-10 12:04:12.943
1739192640182,97403.90940767614,2025-02-10 13:04:00.182
1739196267572,98334.08502172824,2025-02-10 14:04:27.572
1739199847909,97346.47301436782,2025-02-10 15:04:07.909
1739203437314,97251.75237452232,2025-02-10 16:03:57.314
1739207057780,97303.13910111328,2025-02-10 17:04:17.780
1739210642921,97523.71433146537,2025-02-10 18:04:02.921
1739214523736,97585.55088034495,2025-02-10 19:08:43.736
1739217873853,97367.3655911921,2025-02-10 20:04:33.853
1739221437706,97343.1682807978,2025-02-10 21:03:57.706
1739224851728,97398.42007998587,2025-02-10 22:00:51.728
1739228631098,97390.4434974332,2025-02-10 23:03:51.098
1739232196889,97465.03795561657,2025-02-11 00:03:16.889
1739236131459,97996.74379122132,2025-02-11 01:08:51.459
1739239440545,98062.17536313026,2025-02-11 02:04:00.545
1739242931821,97840.1754897783,2025-02-11 03:02:11.821
1739246647829,97607.9294183258,2025-02-11 04:04:07.829
1739250252556,98044.67328804094,2025-02-11 05:04:12.556
1739253838166,98467.0013054058,2025-02-11 06:03:58.166
1739257466923,98423.6912281288,2025-02-11 07:04:26.923
1739261037944,98291.91112214026,2025-02-11 08:03:57.944
1739264648177,98271.14915988536,2025-02-11 09:04:08.177
1739268251776,98047.45718678787,2025-02-11 10:04:11.776
1739271827853,98009.83713490752,2025-02-11 11:03:47.853
1739275460249,98146.26604694665,2025-02-11 12:04:20.249
1739279035918,97785.0383083442,2025-02-11 13:03:55.918
1739282646434,96938.19708318585,2025-02-11 14:04:06.434
1739286227119,96977.78556048905,2025-02-11 15:03:47.119
1739290027324,96889.91975757855,2025-02-11 16:07:07.324
1739293459151,96315.37542059057,2025-02-11 17:04:19.151
1739297059864,96084.83930864246,2025-02-11 18:04:19.864
1739300824093,95551.77083156312,2025-02-11 19:07:04.093
1739304179012,95017.42507160608,2025-02-11 20:02:59.012
1739307848503,95303.46815226416,2025-02-11 21:04:08.503
1739311459586,96328.03689038444,2025-02-11 22:04:19.586
1739315063283,95561.70494164275,2025-02-11 23:04:23.283
1739318644920,95743.13972459143,2025-02-12 00:04:04.920
1739322050639,96077.33083493997,2025-02-12 01:00:50.639
1739325850902,96150.97841210228,2025-02-12 02:04:10.902
1739329312354,95535.57535709743,2025-02-12 03:01:52.354
1739332983459,95372.30093011959,2025-02-12 04:03:03.459
1739336630149,95508.78766861194,2025-02-12 05:03:50.149
1739340252696,95862.97586573691,2025-02-12 06:04:12.696
1739343849592,95809.99388128315,2025-02-12 07:04:09.592
1739347303765,95946.08824913332,2025-02-12 08:01:43.765
1739351070071,96281.23094009243,2025-02-12 09:04:30.071
1739354612376,96126.64137548784,2025-02-12 10:03:32.376
1739358244437,95982.41228195447,2025-02-12 11:04:04.437
1739361846062,96108.54335491334,2025-02-12 12:04:06.062
1739365448493,95918.14912302299,2025-02-12 13:04:08.493
1739369049506,94907.03940613412,2025-02-12 14:04:09.506
1739372655421,95383.62955535506,2025-02-12 15:04:15.421
1739376230406,95853.86268315182,2025-02-12 16:03:50.406
1739379866154,97131.40302480535,2025-02-12 17:04:26.154
1739383456791,97372.92506928637,2025-02-12 18:04:16.791
1739387040157,96927.40233152782,2025-02-12 19:04:00.157
1739390942782,97041.14442247873,2025-02-12 20:09:02.782
1739394271577,96953.21159837977,2025-02-12 21:04:31.577
1739397846802,97581.66121244403,2025-02-12 22:04:06.802
1739401470772,97917.74883920769,2025-02-12 23:04:30.772
1739405059716,97886.93195784716,2025-02-13 00:04:19.716
